pdx_id,bev_resp,animal_id,h_score
g39,good,6919,1.1
g39,good,6919,1.1
g39,good,6919,0.9
g39,good,6919,0.9
g39,good,6919,1
g39,good,6919,0.85
g39,good,6919,0.9
g39,good,7244,0.9
g39,good,7244,0.95
g39,good,7244,0.9
g39,good,7244,0.8
g39,good,7244,0.95
g39,good,7244,0.8
g39,good,7244,1.05
g39,good,8007,1.1
g39,good,8007,1.15
g39,good,8007,1.25
g39,good,8007,1.15
g39,good,8007,1
g39,good,8007,1.1
g39,good,8007,1.1
g59,good,7436,1
g59,good,7436,0.95
g59,good,7436,1.05
g59,good,7436,1
g59,good,7436,1.2
g59,good,7436,0.95
g59,good,7436,1.1
g59,good,7911,1.5
g59,good,7911,1.55
g59,good,7911,1.4
g59,good,7911,1.35
g59,good,7911,1.35
g59,good,7911,1.45
g59,good,7911,1.55
g64,poor,2747,1.4
g64,poor,2747,1.15
g64,poor,2747,1.35
g64,poor,2747,1.5
g64,poor,2747,1.45
g64,poor,2747,1.4
g64,poor,2747,1.15
g64,poor,3132,1.85
g64,poor,3132,1.85
g64,poor,3132,1.85
g64,poor,3132,1.8
g64,poor,3132,1.9
g64,poor,3132,1.7
g64,poor,3132,1.85
g64,poor,3209,1.25
g64,poor,3209,1.15
g64,poor,3209,1.2
g64,poor,3209,1.15
g64,poor,3209,1.1
g64,poor,3209,1.25
g64,poor,3209,1.1
g108,poor,6451,1.45
g108,poor,6451,1.6
g108,poor,6451,1.95
g108,poor,6451,1.9
g108,poor,6451,2
g108,poor,6451,1.9
g108,poor,6451,1.85
g108,poor,6495,1.7
g108,poor,6495,2
g108,poor,6495,2
g108,poor,6495,1.95
g108,poor,6495,2.1
g108,poor,6495,2.05
g108,poor,6495,1.9